[po4_discharge];[no3_discharge];[no2_discharge];[o2_discharge];[sio2_discharge];[tn_discharge];[na_discharge];[k_discharge];[mg_discharge];[ca_discharge];[cl_discharge];[so4_discharge];[co3_discharge];[hco3_discharge];[nh4_discharge];[chl_a_discharge];[br_discharge];[alk_discharge])
1444.7419354839;69022.714285714;1960.3571428571;50864.96875;63588.571428571;62341.428571429;672640.91703057;125121.83406114;95474.897119342;209930.32193661;631612.12976023;253047.41110418;0;1773473.3333333;12815.571428571;74862.642857143;151.07594936709;200849
1387.6129032258;63033;1837.1428571429;46269.46875;59072.142857143;57962.857142857;629047.59825328;116787.42358079;87936.748971193;195113.92563015;596473.6248237;233796.00748596;0;1639883.3333333;12172.5;68737;140.11392405063;185303
1360.8709677419;60070;1794.0714285714;44607.59375;56943.571428571;57290;624248.77729258;114637.03056769;86362.386831276;190169.35363115;593249.92947814;228867.74797255;0;1601860;12046;67737.357142857;134.89873417722;180649
1343.3548387097;56078.357142857;1749.5714285714;42420.40625;54161.428571429;56871.428571429;618706.8558952;111995.76419214;84840.905349794;184161.1929124;589445.98025388;222985.02807236;0;1559566.6666667;11912.714285714;66904.357142857;128.72151898734;175450
1302.4193548387;53578.928571429;1700.5;41144.9375;52277.857142857;56440.714285714;615593.40611354;110213.84279476;83772.880658436;179982.45570252;587182.22849083;219195.25888958;0;1529676.6666667;11762.5;66178.571428571;123.74683544304;171790
1532.2258064516;51126.285714286;1836.4285714286;39833.21875;51362.5;59085;594049.65065502;107949.86899563;86066.090534979;179420.06488645;559073.34273625;217027.448534;0;1558550;11821.5;69463.642857143;128.89873417722;175792
1460.9677419355;49449.571428571;1755.5714285714;40637.8125;48347.857142857;61547.142857143;532689.25764192;99450.917030568;89877.695473251;172162.96481158;473544.71086037;211484.71615721;0;1581526.6666667;10261.714285714;72862;124.91139240506;180752
1491.5161290323;46958.357142857;1756;38491.03125;46626.071428571;59468.571428571;523194.27947598;97009.868995633;86403.29218107;166779.08659845;468663.18758815;204460.3867748;0;1523373.3333333;10273.214285714;70715.928571429;122.30379746835;173715
1492.935483871;47199.142857143;1765;38873.84375;46723.928571429;59922.857142857;526662.62008734;97474.454148472;87198.806584362;167578.0883454;469911.9887165;206063.63069245;0;1534150;10291.142857143;71577.571428571;122.70886075949;174998
1530.8387096774;48068.714285714;1814.3571428571;38889;48039.642857143;59578.571428571;557395.76419214;101668.77729258;86685.555555556;171631.59470926;508741.60789845;210396.13225203;0;1538623.3333333;10989.714285714;71232.785714286;125.12658227848;174571
